#{"t_start": 1746049844.9104855, "env_id": "None"}
r,l,t
-1.0,5,6.872341
-1.0,1,6.883746
1.0,2,6.909214
1.0,2,6.933868
-1.0,1,6.95018
1.0,4,6.993709
-1.0,4,7.032323
-1.0,1,7.044704
1.0,1,7.059323
1.0,1,7.07225
1.0,3,7.104517
1.0,4,7.152732
-1.0,2,7.176132
1.0,1,7.187241
-1.0,1,7.200514
1.0,2,7.223643
-1.0,1,7.2359
-1.0,3,7.272362
1.0,4,7.328693
1.0,2,7.352285
-1.0,1,7.362824
1.0,1,7.373615
1.0,2,7.398963
1.0,1,7.410518
1.0,1,7.423767
1.0,1,7.436217
-1.0,1,7.449975
1.0,1,7.466066
1.0,2,7.49179
1.0,1,7.504172
1.0,2,7.528147
-1.0,1,7.539415
1.0,1,7.552401
-1.0,1,7.564767
-1.0,2,7.579089
1.0,1,7.590012
1.0,1,7.604877
-1.0,2,7.626531
-1.0,2,7.639106
1.0,1,7.652105
1.0,1,7.66738
1.0,1,7.681745
-1.0,1,7.693694
-1.0,1,7.705352
1.0,1,7.717703
-1.0,1,7.729681
-1.0,2,7.75431
1.0,1,7.765338
-1.0,1,7.777372
-1.0,3,7.803067
1.0,1,7.816712
-1.0,1,7.829743
-1.0,1,7.843038
1.0,1,7.855436
-1.0,3,7.891006
-1.0,1,7.902847
-1.0,2,7.933114
-1.0,1,7.945975
1.0,1,7.958857
-1.0,1,7.972914
-1.0,2,7.996736
1.0,2,8.021255
-1.0,1,8.033037
1.0,1,8.043401
-1.0,4,8.096843
-1.0,1,8.109633
1.0,1,8.12853
1.0,1,8.1515
1.0,2,8.176714
-1.0,2,8.197912
-1.0,1,8.208477
1.0,1,8.218323
1.0,1,8.227809
1.0,2,8.247809
-1.0,1,8.258101
1.0,1,8.269167
-1.0,1,8.281
1.0,4,8.319731
-1.0,1,8.329811
-1.0,1,8.341381
1.0,1,8.352568
-1.0,1,8.363969
1.0,1,8.376327
-1.0,2,8.39699
1.0,1,8.406036
1.0,1,8.418061
1.0,1,8.427415
1.0,1,8.4378
1.0,1,8.448796
-1.0,2,8.467324
-1.0,2,8.48751
-1.0,1,8.498861
1.0,1,8.508829
-1.0,1,8.520017
-1.0,1,8.531109
1.0,1,8.541676
-1.0,1,8.557342
-1.0,1,8.569504
1.0,1,8.580424
1.0,4,8.61641
-1.0,1,8.626454
-1.0,2,8.646636
1.0,1,8.657529
1.0,3,8.687635
1.0,1,8.696881
-1.0,1,8.70836
-1.0,4,8.746832
1.0,1,8.757806
1.0,2,8.777984
-1.0,3,8.805436
1.0,1,8.816037
1.0,1,8.827204
1.0,1,8.839112
1.0,1,8.851597
-1.0,1,8.862918
1.0,1,8.8743
-1.0,1,8.88457
-1.0,3,8.914185
-1.0,3,8.942342
1.0,1,8.952638
1.0,1,8.962862
1.0,1,8.97453
-1.0,1,8.983896
1.0,1,8.994167
-1.0,1,9.005594
1.0,1,9.015128
-1.0,1,9.025806
1.0,1,9.035477
1.0,1,9.045639
-1.0,1,9.056219
1.0,2,9.077136
-1.0,1,9.087147
1.0,2,9.11032
-1.0,2,9.133772
1.0,2,9.154162
-1.0,1,9.165971
-1.0,3,9.197614
1.0,1,9.207219
-1.0,4,9.248797
-1.0,1,9.258932
1.0,1,9.269392
1.0,1,9.278831
1.0,2,9.298943
1.0,2,9.318619
-1.0,1,9.326663
-1.0,1,9.337484
-1.0,1,9.348825
-1.0,2,9.36688
-1.0,4,9.40068
1.0,2,9.420403
1.0,1,9.431674
1.0,1,9.441116
1.0,1,9.451826
1.0,1,9.463945
1.0,1,9.476148
1.0,3,9.501392
1.0,1,9.512535
-1.0,1,9.523052
1.0,1,9.532305
-1.0,2,9.553471
1.0,1,9.563626
1.0,1,9.572923
1.0,1,9.583125
1.0,1,9.594166
-1.0,1,9.603774
1.0,2,9.622716
1.0,1,9.632046
1.0,1,9.642605
-1.0,1,9.6535
1.0,2,9.672412
-1.0,1,9.683233
1.0,4,9.722986
-1.0,1,9.732799
-1.0,1,9.743049
1.0,2,9.763066
-1.0,1,9.77473
1.0,3,9.805825
-1.0,1,9.815869
-1.0,1,9.826953
1.0,1,9.839813
1.0,1,9.860905
1.0,1,9.876956
-1.0,2,9.903137
-1.0,2,9.924355
1.0,1,9.934556
-1.0,1,9.944108
1.0,3,9.966643
1.0,1,9.977205
1.0,1,9.986701
-1.0,1,9.998074
-1.0,1,10.007785
1.0,1,10.020162
-1.0,1,10.031705
1.0,1,10.041312
-1.0,1,10.05224
1.0,1,10.061654
1.0,1,10.072766
-1.0,1,10.083499
-1.0,1,10.093834
-1.0,4,10.128078
-1.0,2,10.149562
-1.0,1,10.160593
-1.0,2,10.184006
-1.0,2,10.20703
-1.0,1,10.218017
1.0,1,10.22896
-1.0,1,10.23962
-1.0,1,10.25143
1.0,7,10.328337
1.0,1,10.338155
1.0,2,10.359072
-1.0,2,10.379216
1.0,1,10.390031
-1.0,1,10.39919
-1.0,2,10.419021
-1.0,1,10.428679
1.0,1,10.439356
1.0,1,10.450222
-1.0,2,10.472965
-1.0,2,10.496631
-1.0,2,10.518996
-1.0,1,10.52797
-1.0,1,10.539169
-1.0,1,10.548554
-1.0,1,10.559701
1.0,1,10.570642
1.0,1,10.581562
-1.0,4,10.620804
-1.0,1,10.630488
1.0,1,10.641323
-1.0,1,10.652409
-1.0,1,10.662998
1.0,1,10.672904
-1.0,1,10.683367
-1.0,1,10.69152
1.0,1,10.703244
1.0,3,10.733867
1.0,1,10.742635
-1.0,1,10.75381
1.0,1,10.76487
1.0,1,10.775421
-1.0,1,10.785161
-1.0,1,10.794874
-1.0,1,10.806417
1.0,1,10.817104
-1.0,1,10.826891
1.0,1,10.83848
1.0,1,10.852336
1.0,1,10.862831
1.0,1,10.874797
1.0,1,10.886644
-1.0,1,10.897113
1.0,1,10.908504
1.0,2,10.929365
-1.0,1,10.939706
-1.0,1,10.950614
-1.0,2,10.969865
-1.0,3,10.999766
1.0,1,11.010388
1.0,2,11.024455
1.0,3,11.052143
1.0,1,11.06292
-1.0,1,11.072682
1.0,2,11.093579
1.0,1,11.106046
-1.0,1,11.118183
-1.0,1,11.131934
1.0,1,11.143376
1.0,1,11.15406
-1.0,1,11.165193
-1.0,1,11.175219
-1.0,1,11.185945
1.0,1,11.197088
1.0,1,11.206255
1.0,1,11.216009
-1.0,1,11.227227
-1.0,2,11.248666
1.0,1,11.259059
1.0,2,11.281614
-1.0,2,11.30396
-1.0,1,11.314887
-1.0,1,11.324263
-1.0,1,11.334995
1.0,3,11.368279
1.0,1,11.38001
-1.0,2,11.402758
-1.0,2,11.422029
-1.0,1,11.432802
1.0,1,11.443554
-1.0,1,11.454066
-1.0,1,11.465406
-1.0,1,11.476789
1.0,1,11.486299
1.0,1,11.495578
-1.0,4,11.543949
-1.0,1,11.555567
-1.0,1,11.568559
1.0,1,11.580849
-1.0,1,11.592386
-1.0,3,11.622837
1.0,1,11.632385
-1.0,1,11.643828
1.0,1,11.654088
-1.0,2,11.67411
-1.0,4,11.710042
-1.0,1,11.721242
-1.0,1,11.73238
1.0,1,11.742878
1.0,1,11.754231
1.0,1,11.765419
1.0,2,11.787098
1.0,4,11.841208
1.0,1,11.859814
-1.0,1,11.876116
-1.0,1,11.894024
-1.0,1,11.905415
-1.0,2,11.927563
-1.0,1,11.939678
1.0,1,11.950823
-1.0,1,11.961977
-1.0,1,11.974713
-1.0,1,11.984042
-1.0,1,11.996286
1.0,1,12.007786
1.0,1,12.019326
1.0,1,12.031977
-1.0,1,12.043777
-1.0,2,12.072288
1.0,3,12.109305
1.0,1,12.13105
1.0,1,12.142482
1.0,1,12.161647
-1.0,2,12.194004
-1.0,1,12.212354
1.0,3,12.254314
-1.0,1,12.266457
-1.0,1,12.279617
-1.0,5,12.333962
1.0,1,12.344623
1.0,1,12.355955
1.0,1,12.366834
1.0,1,12.377685
-1.0,1,12.386153
1.0,1,12.394346
1.0,1,12.405465
1.0,1,12.415169
-1.0,3,12.445251
-1.0,1,12.458059
1.0,2,12.481102
1.0,5,12.531366
1.0,1,12.541718
-1.0,1,12.552163
