#{"t_start": 1746033477.5858345, "env_id": "None"}
r,l,t
0.5,10,6.81609
-1.0,10,6.841324
-8.0,10,6.862355
-4.0,10,6.883168
-5.0,10,6.904054
-2.0,10,6.924957
-1.0,10,6.94605
-4.0,10,6.966937
-11.0,10,6.987931
-5.0,10,7.008655
-1.0,10,7.029759
-2.5,10,7.05101
-8.0,10,7.071977
1.0,10,7.092686
-5.5,10,7.113511
0.5,10,7.134193
-8.0,10,7.155048
-1.0,10,7.17611
-4.0,10,7.197261
-7.0,10,7.21833
-5.0,10,7.239991
-2.5,10,7.26218
-8.0,10,7.283468
-5.5,10,7.305711
7.0,10,7.327659
-1.0,10,7.349185
-1.0,10,7.369906
1.0,10,7.391473
-11.0,10,7.41287
-5.0,10,7.434482
-4.0,10,7.456579
-11.0,10,7.478294
1.0,10,7.499892
-5.5,10,7.521988
-2.0,10,7.544056
-4.0,10,7.565525
7.0,10,7.587393
-5.5,10,7.608357
0.5,10,7.630485
7.0,10,7.652653
-1.0,10,7.674572
-2.5,10,7.696485
4.0,10,7.719063
-8.0,10,7.740955
-8.0,10,7.762873
-5.0,10,7.784566
4.0,10,7.806628
-5.5,10,7.82918
-4.0,10,7.851105
-4.0,10,7.87267
-8.0,10,7.893772
-14.0,10,7.914511
-1.0,10,7.935632
-2.0,10,7.957002
-4.0,10,7.978421
-5.0,10,7.999416
-1.0,10,8.020967
-14.0,10,8.042855
-8.0,10,8.064297
-8.0,10,8.085327
-8.0,10,8.106612
-1.0,10,8.128949
-5.0,10,8.150576
-5.0,10,8.171927
-17.0,10,8.193956
-1.0,10,8.215742
-8.0,10,8.237153
-1.0,10,8.258288
-5.5,10,8.279471
-1.0,10,8.301346
0.5,10,8.323164
-5.5,10,8.345141
-5.5,10,8.367505
-7.0,10,8.388659
-2.5,10,8.411121
-4.0,10,8.433037
-8.0,10,8.454737
-5.5,10,8.476028
0.5,10,8.497791
-8.0,10,8.518679
-1.0,10,8.539975
-5.0,10,8.560971
-14.0,10,8.582802
7.0,10,8.604332
-7.0,10,8.625961
-1.0,10,8.648244
-1.0,10,8.669938
4.0,10,8.691571
-1.0,10,8.713425
-5.0,10,8.735278
0.5,10,8.757543
-1.0,10,8.779624
-2.5,10,8.801314
-5.0,10,8.822992
-2.5,10,8.845022
-2.0,10,8.867013
1.0,10,8.888662
-8.0,10,8.910181
-8.0,10,8.932616
-5.0,10,8.953979
-2.5,10,8.975331
-7.0,10,8.996839
-5.5,10,9.018506
-2.0,10,9.040112
-1.0,10,9.061705
-4.0,10,9.082871
0.5,10,9.1043
-2.0,10,9.125722
-1.0,10,9.147561
-8.0,10,9.169786
-4.0,10,9.19891
1.0,10,9.219149
-14.0,10,9.239298
-5.0,10,9.259696
-8.0,10,9.280146
-1.0,10,9.300923
-1.0,10,9.322349
-2.0,10,9.345031
-8.0,10,9.366413
-14.0,10,9.387997
-2.0,10,9.408998
1.0,10,9.430043
-4.0,10,9.451917
-4.0,10,9.473534
1.0,10,9.495698
-2.5,10,9.517412
-5.0,10,9.539048
-5.0,10,9.561061
-2.5,10,9.582691
-4.0,10,9.604511
-2.5,10,9.625992
-11.0,10,9.648468
-14.0,10,9.675555
-2.0,10,9.701932
1.0,10,9.723161
1.0,10,9.744384
-2.5,10,9.765683
-8.0,10,9.787051
2.0,10,9.808608
-11.0,10,9.830226
-1.0,10,9.851578
2.0,10,9.87453
-5.0,10,9.91225
-1.0,10,9.944287
-2.5,10,9.971961
-1.0,10,9.992685
-2.0,10,10.013554
-2.0,10,10.034801
-5.5,10,10.055676
4.0,10,10.077106
-8.0,10,10.098641
-8.0,10,10.120007
-1.0,10,10.14139
-11.0,10,10.163231
-2.0,10,10.184402
-4.0,10,10.206509
-4.0,10,10.228392
-5.0,10,10.249759
-5.0,10,10.271507
-5.5,10,10.292797
-2.5,10,10.315038
-4.0,10,10.337026
-2.0,10,10.359398
-2.0,10,10.380977
-5.0,10,10.401996
-8.0,10,10.423392
-2.0,10,10.444681
-2.0,10,10.466398
-1.0,10,10.487996
2.0,10,10.509118
-2.0,10,10.530011
-4.0,10,10.551045
-11.0,10,10.572177
-2.5,10,10.593246
-2.5,10,10.614445
1.0,10,10.635673
-4.0,10,10.657101
-4.0,10,10.678055
-2.5,10,10.699553
-5.5,10,10.720903
-1.0,10,10.741808
-5.5,10,10.763068
-2.5,10,10.784042
-2.0,10,10.805153
-8.0,10,10.826684
-2.0,10,10.848361
-11.0,10,10.86972
0.5,10,10.890701
-1.0,10,10.911922
-5.0,10,10.932964
-14.0,10,10.954327
-2.0,10,10.975695
-11.0,10,10.997135
-2.0,10,11.018596
-8.0,10,11.039996
-11.0,10,11.061396
-1.0,10,11.08312
0.5,10,11.104757
-2.0,10,11.126141
-4.0,10,11.147625
-7.0,10,11.168942
2.0,10,11.190648
-4.0,10,11.213197
1.0,10,11.242548
0.5,10,14.131434
-5.0,10,14.1525
-2.5,10,14.17356
-5.0,10,14.195521
-5.0,10,14.217095
-2.5,10,14.237868
7.0,10,14.258832
4.0,10,14.27968
-8.0,10,14.301235
-4.0,10,14.322183
1.0,10,14.343907
-2.0,10,14.365375
-1.0,10,14.386337
-7.0,10,14.407195
-2.0,10,14.428238
-1.0,10,14.456903
-4.0,10,14.484993
-1.0,10,14.506697
0.5,10,14.529083
-5.0,10,14.550445
-5.0,10,14.571918
-4.0,10,14.593294
-4.0,10,14.615499
-5.0,10,14.637231
-4.0,10,14.659022
-2.5,10,14.681002
0.5,10,14.702656
-14.0,10,14.724347
-2.5,10,14.747357
-2.5,10,14.769165
-2.5,10,14.790823
-1.0,10,14.813281
-11.0,10,14.834608
-2.5,10,14.856225
0.5,10,14.877993
-2.0,10,14.899377
0.5,10,14.920602
1.0,10,14.941998
-1.0,10,14.963032
-2.0,10,14.984082
-1.0,10,15.005217
-5.0,10,15.026661
-5.5,10,15.048192
-5.0,10,15.069273
-4.0,10,15.090237
-2.5,10,15.111305
-4.0,10,15.132504
-2.0,10,15.153708
-1.0,10,15.174796
4.0,10,15.196827
4.0,10,15.218388
-1.0,10,15.240487
0.5,10,15.262351
-4.0,10,15.284367
-7.0,10,15.305799
-1.0,10,15.327164
-5.0,10,15.348264
-5.5,10,15.369608
-11.0,10,15.390949
-8.0,10,15.412818
-1.0,10,15.434208
2.0,10,15.455839
4.0,10,15.477214
1.0,10,15.499148
-5.0,10,15.520442
4.0,10,15.542306
2.0,10,15.563965
0.5,10,15.585235
-2.5,10,15.606256
-1.0,10,15.627941
-2.0,10,15.649237
1.0,10,15.669539
-2.0,10,15.69097
-11.0,10,15.713327
2.0,10,15.734917
-7.0,10,15.757019
-2.0,10,15.778831
-2.0,10,15.801341
-8.0,10,15.824133
-4.0,10,15.845651
-5.0,10,15.867146
1.0,10,15.888757
-11.0,10,15.910737
-2.5,10,15.932319
-5.0,10,15.953743
-2.5,10,15.974968
-5.5,10,15.997796
-1.0,10,16.019445
1.0,10,16.041555
-2.0,10,16.063015
-4.0,10,16.084432
4.0,10,16.106169
-2.5,10,16.127807
3.5,10,16.149256
-2.5,10,16.170867
-1.0,10,16.19315
-8.0,10,16.214715
-5.5,10,16.236524
-5.0,10,16.258029
-2.5,10,16.279943
1.0,10,16.301802
-1.0,10,16.323603
-8.0,10,16.344873
-4.0,10,16.36636
-2.0,10,16.387622
-4.0,10,16.409117
-2.5,10,16.430336
-5.0,10,16.452258
-2.0,10,16.473552
3.5,10,16.494821
-2.5,10,16.516007
-2.0,10,16.537158
1.0,10,16.558701
-2.0,10,16.580302
2.0,10,16.601305
1.0,10,16.622219
1.0,10,16.643779
-4.0,10,16.665097
-7.0,10,16.686332
0.5,10,16.707665
-8.0,10,16.728752
-1.0,10,16.749821
4.0,10,16.770348
-5.5,10,16.792127
1.0,10,16.813571
1.0,10,16.835063
4.0,10,16.855556
-1.0,10,16.87551
4.0,10,16.89568
-2.5,10,16.915495
-2.5,10,16.935462
-4.0,10,16.955987
-2.0,10,16.97607
1.0,10,16.996085
-1.0,10,17.015908
4.0,10,17.036332
-4.0,10,17.056639
-2.0,10,17.076859
-8.0,10,17.096847
-1.0,10,17.116788
-2.5,10,17.136665
-5.0,10,17.156718
-1.0,10,17.177044
-2.0,10,17.197568
-5.0,10,17.217664
-2.5,10,17.237525
-2.5,10,17.25741
-2.0,10,17.277485
4.0,10,17.298025
-5.5,10,17.318068
4.0,10,17.33867
2.0,10,17.358897
-2.0,10,17.379003
-2.5,10,17.399032
-2.0,10,17.419322
2.0,10,17.439512
1.0,10,17.460003
-11.0,10,17.480403
0.5,10,17.500182
1.0,10,17.519986
-5.5,10,17.539938
-4.0,10,17.56008
-8.0,10,17.580149
-1.0,10,17.600328
4.0,10,17.62007
1.0,10,17.640494
-5.0,10,17.662474
-2.5,10,17.684389
4.0,10,17.705797
1.0,10,17.72778
-4.0,10,17.749681
-4.0,10,17.770622
4.0,10,17.792176
-2.0,10,17.814303
-2.0,10,17.836008
-5.5,10,17.857433
-2.5,10,17.878901
-11.0,10,17.899907
-2.0,10,17.919666
-2.5,10,17.93942
0.5,10,17.959647
-2.0,10,17.979475
-1.0,10,17.999264
-5.5,10,18.019142
-1.0,10,18.039279
-2.0,10,18.060701
-8.0,10,18.08186
-2.0,10,18.101755
-2.0,10,18.122193
-2.0,10,18.141985
-1.0,10,18.16355
-1.0,10,18.185049
-5.0,10,18.206823
0.5,10,18.228576
1.0,10,18.24938
1.0,10,18.269619
1.0,10,18.289488
-2.0,10,18.311453
-2.0,10,18.332949
-2.5,10,18.354496
-11.0,10,18.376097
-2.0,10,18.397792
-5.0,10,18.419482
-1.0,10,18.441385
-2.0,10,18.463589
-2.5,10,21.259962
0.5,10,21.280542
0.5,10,21.301711
1.0,10,21.323243
4.0,10,21.345525
-8.0,10,21.36667
4.0,10,21.387552
1.0,10,21.40932
-1.0,10,21.430537
2.0,10,21.45224
-2.0,10,21.473803
-4.0,10,21.495593
-4.0,10,21.516661
-8.0,10,21.537905
-2.5,10,21.558763
-8.5,10,21.580528
-7.0,10,21.601895
1.0,10,21.623807
4.0,10,21.645474
7.0,10,21.667017
-1.0,10,21.687976
-2.0,10,21.709559
-4.0,10,21.730929
-4.0,10,21.751448
2.0,10,21.771672
-7.0,10,21.795995
-10.0,10,21.817448
7.0,10,21.845751
-2.5,10,21.872709
-5.5,10,21.893812
7.0,10,21.914004
2.0,10,21.933995
-8.0,10,21.953967
-5.5,10,21.974206
-2.0,10,21.994664
-5.5,10,22.01456
3.5,10,22.034726
10.0,10,22.054911
1.0,10,22.075246
1.0,10,22.095419
-2.0,10,22.115568
0.5,10,22.135391
1.0,10,22.155645
-2.0,10,22.17557
0.5,10,22.196677
-1.0,10,22.216671
-1.0,10,22.237088
0.5,10,22.257809
1.0,10,22.279339
1.0,10,22.300411
-5.0,10,22.321441
4.0,10,22.342657
-5.5,10,22.363704
4.0,10,22.384678
-4.0,10,22.409206
-5.0,10,22.438818
-8.5,10,22.468046
-1.0,10,22.488751
1.0,10,22.508895
-1.0,10,22.529163
2.0,10,22.549202
-5.5,10,22.569556
4.0,10,22.589363
7.0,10,22.609409
1.0,10,22.629908
1.0,10,22.650615
-4.0,10,22.671863
-4.0,10,22.693856
4.0,10,22.715885
2.0,10,22.737897
-1.0,10,22.759683
1.0,10,22.781408
0.5,10,22.80348
